MovieID,count_ratings,avg_rating,Title,Genres
2599,1522,3.9303547963206307,Election (1999),Comedy
3481,1373,3.928623452294246,High Fidelity (2000),Comedy
590,1451,3.9152308752584424,Dances with Wolves (1990),Adventure|Drama|Western
2716,2181,3.9055479138010085,Ghostbusters (1984),Comedy|Horror
1923,1371,3.9044493070751276,There's Something About Mary (1998),Comedy
34,1751,3.8914905768132497,Babe (1995),Children's|Comedy|Drama
2000,1627,3.8869084204056548,Lethal Weapon (1987),Action|Comedy|Crime|Drama
1374,1448,3.880524861878453,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi
1968,1539,3.8797920727745288,"Breakfast Club, The (1985)",Comedy|Drama
3751,1329,3.8796087283671934,Chicken Run (2000),Animation|Children's|Comedy
3408,1315,3.863878326996198,Erin Brockovich (2000),Drama
1073,1313,3.8613861386138613,Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy
2797,1491,3.8558014755197854,Big (1988),Comedy|Fantasy
2355,1703,3.854374633000587,"Bug's Life, A (1998)",Animation|Children's|Comedy
2395,1220,3.8409836065573773,Rushmore (1998),Comedy
3793,1511,3.8206485771012573,X-Men (2000),Action|Sci-Fi
588,1351,3.788304959289415,Aladdin (1992),Animation|Children's|Comedy|Musical
3175,1728,3.771412037037037,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi
1584,1382,3.768451519536903,Contact (1997),Drama|Sci-Fi
480,2672,3.7638473053892216,Jurassic Park (1993),Action|Adventure|Sci-Fi
2700,1269,3.760441292356186,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy
1393,1353,3.7590539541759056,Jerry Maguire (1996),Drama|Romance
3753,1240,3.7451612903225806,"Patriot, The (2000)",Action|Drama|War
357,1233,3.7437145174371453,Four Weddings and a Funeral (1994),Comedy|Romance
1580,2538,3.739952718676123,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi
1094,1229,3.7314890154597236,"Crying Game, The (1992)",Drama|Romance|War
733,1340,3.723134328358209,"Rock, The (1996)",Action|Adventure|Thriller
2706,1389,3.7098632109431247,American Pie (1999),Comedy
